,time,expect,testMAE,max_trainMAE,anomaly
53135,791.77869,13.820325953869869,17.114404000186614,0.3,True
53136,791.778791,14.214694169590173,17.119984949969936,0.3,True
53137,791.778879,13.734057906681057,17.14423926566514,0.3,True
53138,791.778887,13.820325953869869,17.013792476457432,0.3,True
53139,791.778991,15.675088968429401,16.886251936858663,0.3,True
53140,791.779158,15.085590645972502,16.894066919143754,0.3,True
53141,791.77919,15.545686897646178,16.883762929097568,0.3,True
53142,791.780092,15.545686897646178,16.873429081098,0.3,True
53143,791.780284,15.675088968429401,16.866190104937314,0.3,True
53144,791.780365,15.085590645972502,16.869539037570625,0.3,True
53145,791.780379,15.545686897646178,16.84476695700963,0.3,True
53146,791.78046,14.214694169590173,16.842856349989567,0.3,True
53147,791.780558,13.734057906681057,16.772532602620814,0.3,True
53148,791.780654,13.820325953869869,16.671704595187858,0.3,True
53149,791.780748,15.545686897646178,16.654490357582628,0.3,True
53150,791.780857,14.214694169590173,16.757153822499507,0.3,True
53151,791.780876,13.734057906681057,16.793152726166138,0.3,True
53152,791.7811,13.820325953869869,16.77600806839432,0.3,True
53153,791.781812,11.611863945836202,16.782720909037188,0.3,True
53154,791.781979,15.675088968429401,16.643586104086733,0.3,True
53155,791.782058,15.545686897646178,16.604187227260766,0.3,True
53156,794.805634,16.270338494032224,16.60443646287141,0.3,True
53157,794.806306,12.44003719884883,16.635581901849733,0.3,True
53158,794.82797,13.820325953869869,16.461319760395288,0.3,True
53159,794.828068,15.200614708890917,16.34684742790152,0.3,True
53160,794.828155,19.98232932449953,16.33337064903181,0.3,True
53161,794.828222,19.98232932449953,16.557769223503612,0.3,True
53162,794.828281,18.83955779031003,16.912951588297656,0.3,True
53163,794.828288,19.16894487957642,17.251105190324033,0.3,True
53164,794.828374,16.969109676261628,17.602724310835516,0.3,True
53165,794.82859,17.058695725265398,17.72323158060006,0.3,True
53166,794.828846,19.68655316270931,17.936713421702898,0.3,True
53167,794.829759,17.227913817828075,18.306723148582343,0.3,True
53168,794.829884,15.545686897646178,18.556960015980785,0.3,True
53169,794.830068,17.058695725265398,18.8671774575725,0.3,True
53170,794.830563,17.058695725265398,18.962059768672255,0.3,True
53171,794.830682,17.058695725265398,19.063873625078763,0.3,True
53172,794.830862,17.058695725265398,19.116090232623826,0.3,True
53173,794.831508,17.058695725265398,19.423194747572083,0.3,True
53174,794.83163,17.227913817828075,19.638806964929135,0.3,True
53175,794.83185,19.557151091926087,19.77025914009831,0.3,True
53176,794.83259,18.83955779031003,19.69573165772228,0.3,True
53177,794.83271,19.98232932449953,19.606030629582893,0.3,True
53178,794.832951,15.675088968429401,19.65845814742514,0.3,True
53179,794.833488,15.085590645972502,19.47305317402077,0.3,True
